date,Close,Net,chg,Open,Low,High,Volume
44861.00,10792.68,-178.32,-0.02,10971.95,10780.50,10998.73,973522781.00
44860.00,10970.99,-228.12,-0.02,10969.02,10948.38,11205.84,1004209525.00
44859.00,11199.12,246.50,0.02,10996.97,10996.97,11210.38,991080206.00
44858.00,10952.61,92.90,0.01,10867.07,10713.33,10983.52,921198424.00
44855.00,10859.72,244.87,0.02,10576.04,10542.43,10875.72,1023237553.00
44854.00,10614.84,-65.66,-0.01,10657.41,10574.55,10837.30,866247731.00
44853.00,10680.51,-91.89,-0.01,10689.31,10592.88,10808.04,921125564.00
44852.00,10772.40,96.60,0.01,10963.99,10670.12,10972.97,929623967.00
44851.00,10675.80,354.41,0.03,10575.65,10569.69,10696.59,944313917.00
44848.00,10321.39,-327.76,-0.03,10742.81,10308.81,10766.69,918041082.00
44847.00,10649.15,232.05,0.02,10131.82,10088.83,10697.71,1049737203.00
44846.00,10417.10,-9.09,0.00,10437.00,10372.21,10494.53,823607662.00
44845.00,10426.19,-115.91,-0.01,10484.37,10351.98,10608.84,990742127.00
44844.00,10542.10,-110.30,-0.01,10659.95,10449.04,10669.93,812520676.00
44841.00,10652.41,-420.91,-0.04,10877.28,10608.52,10891.93,1026201830.00
44840.00,11073.31,-75.33,-0.01,11129.04,11051.27,11230.44,873351409.00
44839.00,11148.64,-27.77,0.00,11022.67,10910.76,11210.32,830230852.00
44838.00,11176.41,360.97,0.03,11054.72,11044.04,11189.96,1024812213.00
44837.00,10815.44,239.82,0.02,10659.01,10577.89,10875.46,943342633.00
44834.00,10575.62,-161.89,-0.02,10697.71,10572.33,10883.04,1095036439.00
44833.00,10737.51,-314.13,-0.03,10894.44,10623.23,10899.47,971921824.00
44832.00,11051.64,222.13,0.02,10817.53,10776.34,11101.50,953337272.00
44831.00,10829.50,26.58,0.00,10955.29,10741.02,11040.99,903368502.00
44830.00,10802.92,-65.00,-0.01,10833.38,10789.05,11024.00,949634881.00
44827.00,10867.93,-198.88,-0.02,10952.69,10732.72,10958.30,1004663599.00
44826.00,11066.81,-153.39,-0.01,11167.38,11024.64,11203.77,934353909.00
44825.00,11220.19,-204.86,-0.02,11466.21,11219.00,11613.57,909346663.00
44824.00,11425.05,-109.97,-0.01,11440.14,11343.72,11520.99,861659610.00
44823.00,11535.02,86.62,0.01,11338.57,11337.83,11538.13,932680853.00
44820.00,11448.40,-103.95,-0.01,11401.21,11316.92,11460.43,3047170630.00
44819.00,11552.36,-167.32,-0.01,11633.24,11497.11,11760.73,1027571576.00
44818.00,11719.68,86.10,0.01,11680.41,11602.76,11746.83,1046348416.00
44817.00,11633.57,-632.84,-0.05,11908.81,11604.43,11957.97,1102967752.00
44816.00,12266.41,154.10,0.01,12174.94,12169.28,12270.19,845283821.00
44813.00,12112.31,250.18,0.02,11958.61,11958.61,12132.67,881469923.00
44812.00,11862.13,70.23,0.01,11679.86,11660.53,11896.73,875825080.00
44811.00,11791.90,246.99,0.02,11559.38,11555.09,11819.07,897118152.00
44810.00,11544.91,-85.95,-0.01,11643.03,11471.50,11679.43,945531374.00
44806.00,11630.86,-154.26,-0.01,11899.14,11573.51,11945.91,868071761.00
44805.00,11785.13,-31.08,0.00,11707.44,11546.52,11798.37,974172927.00
44804.00,11816.20,-66.93,-0.01,11972.56,11814.17,12027.43,1163893972.00
44803.00,11883.14,-134.53,-0.01,12093.06,11790.03,12101.85,896270290.00
44802.00,12017.67,-124.04,-0.01,12021.05,11981.42,12124.87,798387363.00
44799.00,12141.71,-497.56,-0.04,12630.58,12141.52,12655.84,960487589.00
44798.00,12639.27,207.74,0.02,12506.37,12471.98,12641.27,797228452.00
44797.00,12431.53,50.23,0.00,12375.15,12350.16,12504.33,770645337.00
44796.00,12381.30,-0.27,0.00,12380.37,12352.03,12490.86,763643302.00
44795.00,12381.57,-323.64,-0.03,12523.16,12353.73,12538.55,857722775.00
44792.00,12705.22,-260.13,-0.02,12832.27,12674.87,12859.01,998672841.00
44791.00,12965.34,27.22,0.00,12937.79,12873.49,13002.66,865169379.00
44790.00,12938.12,-164.43,-0.01,12968.63,12863.01,13053.51,977808612.00
44789.00,13102.55,-25.50,0.00,13082.64,12979.24,13181.09,952790649.00
44788.00,13128.05,80.87,0.01,12996.63,12993.78,13146.06,862204582.00
44785.00,13047.19,267.27,0.02,12866.31,12821.22,13047.19,936386685.00
44784.00,12779.91,-74.89,-0.01,12944.82,12760.09,13026.24,1082370194.00
