trade_id,asset,dt_enter,dt_exit,success,n,rtn
400,IVV,8/4/21,,0,3,
401,IVV,8/5/21,,0,3,
402,IVV,8/6/21,,0,3,
403,IVV,8/9/21,,0,3,
404,IVV,8/10/21,,0,3,
405,IVV,8/11/21,,0,3,
406,IVV,8/12/21,,0,3,
407,IVV,8/13/21,,0,3,
408,IVV,8/16/21,8/23/21,1,6,0.0016583884755280154
409,IVV,8/17/21,8/23/21,1,5,0.0019900661706336183
410,IVV,8/18/21,8/23/21,1,4,0.002487582713292023
411,IVV,8/19/21,,0,3,
412,IVV,8/20/21,,0,3,
413,IVV,8/23/21,,0,3,
414,IVV,8/24/21,,0,3,
415,IVV,8/25/21,,0,3,
416,IVV,8/26/21,,0,3,
417,IVV,8/27/21,,0,3,
418,IVV,8/30/21,,0,3,
419,IVV,8/31/21,,0,3,
420,IVV,9/1/21,,0,3,
421,IVV,9/2/21,,0,3,
422,IVV,9/3/21,,0,3,
423,IVV,9/7/21,,0,3,
424,IVV,9/8/21,9/17/21,-1,8,-0.0012111440816255867
425,IVV,9/9/21,9/17/21,-1,7,-0.0011963475969260786
426,IVV,9/10/21,9/20/21,-1,7,-0.0029875480542924907
427,IVV,9/13/21,,0,3,
428,IVV,9/14/21,,0,3,
429,IVV,9/15/21,,0,3,
430,IVV,9/16/21,9/24/21,-1,7,0.00010900965264323552
431,IVV,9/17/21,9/24/21,-1,6,0.00043804992026216994
432,IVV,9/20/21,9/23/21,1,4,0.002487582713292023
433,IVV,9/21/21,,0,3,
434,IVV,9/22/21,,0,3,
435,IVV,9/23/21,,0,3,
436,IVV,9/24/21,10/5/21,-1,8,-0.002084070580778363
437,IVV,9/27/21,10/5/21,-1,7,-0.0021133484796975114
438,IVV,9/28/21,10/5/21,-1,6,-0.001943545517936602
439,IVV,9/29/21,10/1/21,1,3,0.003316776951056031
440,IVV,9/30/21,10/1/21,1,2,0.004975165426584046
441,IVV,10/1/21,,0,3,
442,IVV,10/4/21,10/5/21,1,2,0.004975165426584046
443,IVV,10/5/21,,0,3,
444,IVV,10/6/21,10/6/21,1,1,0.009950330853168092
445,IVV,10/7/21,,0,3,
446,IVV,10/8/21,10/14/21,1,5,0.0019900661706336183
447,IVV,10/11/21,10/14/21,1,4,0.002487582713292023
448,IVV,10/12/21,,0,3,
449,IVV,10/13/21,,0,3,
450,IVV,10/14/21,,0,3,
451,IVV,10/15/21,,0,3,
452,IVV,10/18/21,,0,3,
453,IVV,10/19/21,,0,3,
454,IVV,10/20/21,,0,3,
455,IVV,10/21/21,,0,3,
456,IVV,10/22/21,,0,3,
457,IVV,10/25/21,,0,3,
458,IVV,10/26/21,,0,3,
459,IVV,10/27/21,,0,3,
460,IVV,10/28/21,,0,3,
461,IVV,10/29/21,,0,3,
462,IVV,11/1/21,,0,3,
463,IVV,11/2/21,,0,3,
464,IVV,11/3/21,,0,3,
465,IVV,11/4/21,,0,3,
466,IVV,11/5/21,,0,3,
467,IVV,11/8/21,11/15/21,1,6,0.0016583884755280154
468,IVV,11/9/21,11/16/21,1,6,0.0016583884755280154
469,IVV,11/10/21,11/12/21,1,3,0.003316776951056031
470,IVV,11/11/21,,0,3,
471,IVV,11/12/21,,0,3,
472,IVV,11/15/21,,0,3,
473,IVV,11/16/21,,0,3,
474,IVV,11/17/21,,0,3,
475,IVV,11/18/21,,0,3,
476,IVV,11/19/21,12/1/21,-1,9,-0.0035252532561342873
477,IVV,11/22/21,,0,3,
478,IVV,11/23/21,12/3/21,-1,9,-0.002314445528133838
479,IVV,11/24/21,12/3/21,-1,8,-0.0027757794589291906
480,IVV,11/26/21,12/3/21,-1,6,-0.004133833114996681
481,IVV,11/29/21,12/2/21,1,4,0.002487582713292023
482,IVV,11/30/21,12/1/21,1,2,0.004975165426584046
483,IVV,12/1/21,12/2/21,1,2,0.004975165426584046
484,IVV,12/2/21,,0,3,
485,IVV,12/3/21,12/6/21,1,2,0.004975165426584046
486,IVV,12/6/21,,0,3,
487,IVV,12/7/21,,0,3,
488,IVV,12/8/21,,0,3,
489,IVV,12/9/21,12/16/21,1,6,0.0016583884755280154
490,IVV,12/10/21,12/15/21,1,4,0.002487582713292023
491,IVV,12/13/21,12/16/21,1,4,0.002487582713292023
492,IVV,12/14/21,12/15/21,1,2,0.004975165426584046
493,IVV,12/15/21,,0,3,
494,IVV,12/16/21,12/23/21,1,6,0.0016583884755280154
495,IVV,12/17/21,12/22/21,1,4,0.002487582713292023
496,IVV,12/20/21,12/21/21,1,2,0.004975165426584046
497,IVV,12/21/21,,0,3,
498,IVV,12/22/21,,0,3,
499,IVV,12/23/21,,0,3,
500,IVV,12/27/21,,0,3,
501,IVV,12/28/21,,0,3,
502,IVV,12/29/21,,0,3,
503,IVV,12/30/21,,0,3,
504,IVV,12/31/21,,0,3,
505,IVV,1/3/22,1/12/22,-1,8,0.0002274410867623196
506,IVV,1/4/22,1/12/22,-1,7,-0.0005906433760762259
507,IVV,1/5/22,1/12/22,-1,6,-0.0006329388593408106
508,IVV,1/6/22,1/11/22,1,4,0.002487582713292023
509,IVV,1/7/22,1/11/22,1,3,0.003316776951056031
510,IVV,1/10/22,1/11/22,1,2,0.004975165426584046
511,IVV,1/11/22,,0,3,
512,IVV,1/12/22,1/21/22,-1,8,-0.007479438079633159
513,IVV,1/13/22,1/21/22,-1,7,-0.00892665833162521
514,IVV,1/14/22,1/14/22,1,1,0.009950330853168092
515,IVV,1/18/22,1/25/22,-1,6,-0.009514521246251446
516,IVV,1/19/22,1/20/22,1,2,0.004975165426584046
517,IVV,1/20/22,1/27/22,-1,6,-0.006067595118411702
518,IVV,1/21/22,1/28/22,-1,6,-0.00018018425593352902
519,IVV,1/24/22,1/24/22,1,1,0.009950330853168092
520,IVV,1/25/22,1/26/22,1,2,0.004975165426584046
521,IVV,1/26/22,1/27/22,1,2,0.004975165426584046
522,IVV,1/27/22,1/28/22,1,2,0.004975165426584046
523,IVV,1/28/22,,0,3,
524,IVV,1/31/22,,0,3,
525,IVV,2/1/22,,0,3,
526,IVV,2/2/22,2/9/22,1,6,0.0016583884755280154
527,IVV,2/3/22,2/9/22,1,5,0.0019900661706336183
528,IVV,2/4/22,,0,3,
529,IVV,2/7/22,,0,3,
530,IVV,2/8/22,,0,3,
531,IVV,2/9/22,2/18/22,-1,8,-0.0034546954375633933
